"","EarDiameter_NY","EarLength_NY","EarRankNumber_NY","EarRowNumber_NY","EarWeight_NY","GDDAnthesisSilkingInterval_NY","GDDDaystoSilk_NY","GDDDaystoTassel_NY","GerminationCount_NY","LeafLength_NY","LeafWidth_NY","MainSpikeLength_NY","MiddleLeafAngle_NY","NIROil_NY","NIRProtein_NY","NIRStarch_NY","NorthernLeafBlightPercentage_NY","NumberofTilleringPlants_NY","PlantHeight_NY","SecondaryBranchNumber_NY","SeedSetLength_NY","StandCount_NY","TasselBranchLength_NY","TasselLength_NY","TasselPrimaryBranches_NY","TilleringIndex_NY","UpperLeafAngle_NY","X20KernelWeight_NY"
"33-16",33.5507069952455,111.136562961337,NA,NA,NA,28.47111,962.9566675,934.4830575,1.44077612733705,743,83.5,227,85.7963985917859,3.77921931449083,13.344921258578,65.5597476114519,NA,0.86473649885544,136.615700738489,0.818576374175771,99.437275707228,1.85801426426351,NA,310,13,0.537286424834101,60.2416291977279,NA
"38-11",39.8333333333333,158.833333333333,NA,15.6666666666667,98.1666666666667,19.9636407426244,901.516738028509,881.72944783576,7.44077612733705,845,82,233.5,47.5,NA,NA,NA,NA,0.86473649885544,150,2.5,167.239223514779,8.85801426426351,233,352,11.5,0.537286424834101,60,4.31281095246968
"4226",40.5,148.166666666667,NA,12.4576744948914,91.7330838030432,30.2375307426244,768.185068028509,811.0816675,3.94077612733705,711.5,88.5,242,42.5,NA,NA,NA,NA,0.86473649885544,160,2,142,9.85801426426351,174,337,20,0.537286424834101,32.5,3.51281095246968
"4722",33.3333333333333,150,24.0415299227703,12.6666666666667,53.3333333333333,47.97111,906.261945,858.2883325,3.44077612733705,779.5,93.5,230,58.75,4.29,13.225,61.985,NA,0.86473649885544,147.5,3.5,119,10.8580142642635,235,334,8.5,NA,60,3.1
"A188",40.5507069952455,128.636562961337,24.0415299227703,13.1576893423934,84.4732949707388,0,650.4566675,650.4566675,4.94077612733705,650.5,85.5,247,62.5,5.12,14.415,65.97,NA,0.86473649885544,140,0.5,117.437275707228,9.85801426426351,183,347.5,17.5,NA,46.25,5.77911891959665
"A214N",36.407697422787,153.034431304277,26.0415299227703,12.3846361627153,57.543621226218,-5.70311861110761e-15,947.8172225,947.8172225,4.94077612733705,727,80.5,200,60,NA,NA,NA,NA,1.86473649885544,172.5,1.5,135.823500777993,12.8580142642635,207,275.5,8.5,NA,90.2416291977279,4.28307012793367
"A239",37.5507069952455,122.136562961337,21.0415299227703,12.1576893423934,81.9732949707388,17.110555,820.858055,803.7475,3.94077612733705,647,70.5,254.5,57.5,4.12,13.535,70.125,NA,0.86473649885544,122.5,0.5,106.937275707228,6.85801426426351,198,314,4,NA,57.5,7.08385974413267
"A272",33.1666666666667,120.166666666667,32.0415299227703,10.6666666666667,40.9830838030432,15.5164207426244,803.742848028509,788.397777835761,0.94077612733705,634.5,77.5,193,35.7963985917859,NA,NA,NA,NA,0.86473649885544,137.5,0.5,113.833333333333,6.85801426426351,173,267,8,NA,50,4.5
"A441-5",37.8333333333333,107.5,NA,11.9576744948914,59.6666666666667,14.3052775,917.538335,903.2330575,5.44077612733705,707.5,99.5,166,65,NA,NA,NA,NA,0.86473649885544,92.5,1.5,123.989223514779,10.8580142642635,127.5,232.5,14.5,0.537286424834101,52.5,6.88781095246968
"A554",39.5415955819674,128.579005734386,NA,12.9576744948914,76.2330838030432,11.4975,731.636945,720.136945,4.44077612733705,696.5,74,174.5,65,3.705,16.135,60.725,NA,0.86473649885544,112.5,1,108.989223514779,5.85801426426351,162,264,10.25,0.537286424834101,42.5,4.61281095246968
"A556",36.0415955819674,134.329005734386,NA,13.4576744948914,63.7330838030432,-21.9785792573756,715.963958028509,738.11889283576,2.94077612733705,673.303278488101,89.258457307065,218.5,44.2036014082141,4.37078068550918,12.805078741422,67.6702523885481,NA,0.86473649885544,92.5,1,117.489223514779,12.8580142642635,182,282.5,8.5,0.537286424834101,54.7583708022721,3.96281095246968
"A6",33.3985860095089,88.7268740773264,NA,14.1846213152132,28.5534100585223,9.72111,985.038335,975.3172225,2.94077612733705,972.303278488101,96.258457307065,191.5,75,NA,NA,NA,NA,0.86473649885544,178.75,5.5,75.1254485855441,11.8580142642635,205,341.5,18,0.537286424834101,85.2416291977279,3.1917621608067
"A619",47.2915955819674,145.579005734386,NA,13.9576744948914,103.983083803043,15.5164207426244,779.574513028509,802.886945,3.94077612733705,507,81.5,180.75,51.7036014082141,3.77078068550918,14.635078741422,66.6602523885481,NA,0.86473649885544,132.5,0.5,138.239223514779,8.85801426426351,174,243.5,8.5,0.537286424834101,55,4.96281095246968
"A632",36.6666666666667,114.333333333333,18.0415299227703,13.3333333333333,54.5,5.1802775,791.663335,786.483055,10.940776127337,708,69.5,227.5,53.75,4.315,12.795,68.25,NA,0.86473649885544,128.384299261511,1,101.333333333333,12.8580142642635,202,295.25,7.75,0.537286424834101,NA,4.58333333333333
"A634",40.1666666666667,123.166666666667,NA,14.9576744948914,80.7330838030432,17.110555,814.4686125,797.3580575,8.44077612733705,674.5,68.5,192.5,64.166666665,4.235,14.1,68.72,NA,0.86473649885544,127.5,0.5,109.5,9.85801426426351,199,247,3.5,0.537286424834101,NA,4.58333333333333
"A635",38.991030757787,145.226874077326,14.0415299227703,13.8846361627153,46.043621226218,52.4975,810.2475,757.7475,8.94077612733705,703,66.5,229.25,58.75,3.55921931449083,14.094921258578,70.399747611452,NA,0.86473649885544,110,1,87.5735007779934,11.8580142642635,162,307.25,10.25,NA,NA,4.75807012793367
"A641",36.5,121.833333333333,15.0415299227703,13.5,59.1666666666667,25.5791675,803.7475,778.163335,6.44077612733705,580.75,71,220.5,41.25,4.045,13.035,70.805,NA,0.86473649885544,107.5,-8.92717477279143e-17,96,10.8580142642635,134.5,248.75,3.75,NA,42.5,5.18333333333333
"A654",29.8985860095089,102.726874077326,NA,11.6846213152132,20.0534100585223,6.25,658.55278,652.30278,7.44077612733705,560.5,79.5,203,67.5,4.54921931449083,15.334921258578,64.869747611452,NA,0.86473649885544,112.5,5.69703733467377e-17,93.6254485855441,13.8580142642635,193,267,5.5,NA,62.5,3.8417621608067
"A659",35.6666666666667,128.833333333333,NA,15.9576744948914,70.4830838030432,-8.64691425737563,613.742848028509,726.52639,4.44077612733705,680,65.5,239.5,39.2036014082141,NA,NA,NA,NA,1,117.5,8.85903093982166e-18,115.166666666667,12.8580142642635,183,291.75,6.25,0.5,40,4.61666666666667
"A661",39.657697422787,121.534431304277,15.0415299227703,14.3846361627153,67.293621226218,44.233055,762.6777775,718.4422225,8.44077612733705,591,80.5,210.25,52.5,4.795,15.885,66.085,NA,0.86473649885544,132.5,0.5,108.073500777993,10.8580142642635,152,272.25,7,0.537286424834101,61.25,4.75807012793367
"A679",43.3333333333333,145.833333333333,NA,18.9576744948914,120.233083803043,3.235555,810.831665,807.59611,6.94077612733705,717,76,236.75,70,3.52,12.31,71.045,NA,0.86473649885544,140,0.5,137.833333333333,13.8580142642635,197,311,7,1.5372864248341,77.5,3.83333333333333
"A680",39.3333333333333,134.666666666667,24.0415299227703,15.6666666666667,75.5,14.0672225,857.511945,843.4422225,7.94077612733705,690,85,227.5,65,4.12,14.095,65.38,NA,0.86473649885544,157.5,1,124.333333333333,9.85801426426351,205,302.5,6.25,0.537286424834101,82.5,3.5
"A682",34.3333333333333,145.833333333333,21.0415299227703,10.3333333333333,61.6666666666667,39.3172225,830.983055,791.663335,5.94077612733705,562.5,60.5,326.75,44.2036014082141,3.87078068550917,12.785078741422,67.0202523885481,NA,0.86473649885544,127.5,-9.62226848138321e-17,129.166666666667,7.85801426426351,192.5,350.75,4,NA,37.5,4.85
"Ab28A",43.8985860095089,140.726874077326,NA,11.6846213152132,81.0534100585223,21.386945,951.8436125,930.4566675,1.44077612733705,736.303278488101,114.758457307065,229,62.5,5.57921931449082,16.994921258578,62.2897476114519,NA,0.86473649885544,143.384299261511,2,126.125448585544,6.85801426426351,210.5,350,11,0.537286424834101,70.2416291977279,6.2417621608067
"B10",46.7915955819674,209.829005734386,NA,14.9576744948914,135.483083803043,19.1269757426244,887.627293028509,862.511945,3.94077612733705,808.5,93.5,203.5,52.5,3.45,12.7,66.76,NA,0.86473649885544,140,3.5,172.989223514779,5.85801426426351,224,317,11,NA,40,6.91281095246968
"B103",40.8985860095089,141.726874077326,NA,15.6846213152132,73.0534100585223,19.1922225,784.30278,765.1080575,4.44077612733705,690.5,83,293.25,65.7963985917859,NA,NA,NA,NA,0.86473649885544,102.5,-0.181423625824229,134.625448585544,10.8580142642635,193.287508368847,292.75,0.5,0.537286424834101,58.75,5.5917621608067
"B104",43.5,137.833333333333,28.0415299227703,14,114.666666666667,70.4277775,891.9541675,821.52639,8.94077612733705,782,85.5,202,58.75,4.025,10.98,70.9,NA,0.86473649885544,130,1,126.666666666667,6.85801426426351,170,269,9,NA,62.5,5.2
"B105",41.157697422787,124.034431304277,22.5415299227703,15.8846361627153,62.043621226218,23.886945,934.4830575,910.5936125,6.44077612733705,741.5,81.5,180.5,62.5,3.85078068550917,13.695078741422,67.8102523885481,NA,1.86473649885544,145,2,116.323500777993,8.85801426426351,201,268,9.5,NA,77.5,4.13307012793367
"B109",43.407697422787,141.534431304277,21.0415299227703,15.3846361627153,97.043621226218,18.163335,866.22111,848.0527775,6.94077612733705,709.5,89.5,202.25,58.75,NA,NA,NA,NA,0.86473649885544,167.5,1,128.823500777993,11.8580142642635,173,287,7,0.537286424834101,70,5.00807012793367
"B115",37.1666666666667,152.833333333333,NA,14.4576744948914,77.4830838030432,49.0313592573756,922.781041971491,873.56833216424,4.94077612733705,671.696721511899,74.741542692935,211,48.75,4.16,13.43,67.01,NA,0.86473649885544,155,2.5,135.5,7.85801426426351,218,352,14.5,0.537286424834101,52.5,4.73781095246968
"B14A",37.157697422787,150.166666666667,16.0415299227703,13.6666666666667,61.5,7.18475074262437,819.574513028509,868.65139,3.94077612733705,835.5,84.5,238,67.5,4.23078068550917,15.615078741422,65.4002523885481,NA,0.86473649885544,147.5,1,105.573500777993,10.8580142642635,234,330.75,7.5,0.537286424834101,55,5.3
"B164",38,161.666666666667,27.0415299227703,17,90.1666666666667,63.9277775,836.39889,772.4686125,4.94077612733705,732,79,213,68.75,5.1,14.095,67.42,NA,0.86473649885544,162.5,2,138.666666666667,12.8580142642635,232,298.5,13.5,NA,48.75,4.19444444433333
"B2",47.1666666666667,162.333333333333,27.0415299227703,15.1576893423934,142.833333333333,20.2763875,871.1225,850.8436125,1.94077612733705,766.5,86,302.5,58.75,4.39,18.24,63.065,NA,0.86473649885544,157.5,1,141,7.85801426426351,231,406.5,11.5,NA,77.5,6.05
"B37",43.6666666666667,160,28.0415299227703,15.3333333333333,128,52.7908325,880.5791675,827.788335,2.94077612733705,687,84.5,226.5,67.5,3.42078068550917,13.785078741422,59.5802523885481,NA,0.86473649885544,142.5,1.5,152,NA,177,278.5,6.5,NA,65,5.93333333333333
"B46",41.407697422787,162.284431304277,26.0415299227703,15.3846361627153,114.543621226218,33.77389,829.4422225,795.663335,4.94077612733705,815.5,95.5,217.5,62.5,4.2,14.195,67.5,NA,0.86473649885544,162.5,0.5,147.573500777993,5.85801426426351,207,295,7,NA,45,4.50807012793367
"B52",38.1666666666667,132.5,NA,15.9576744948914,86.9830838030432,31.6269757426244,859.853403028509,828.397777835761,8.94077612733705,706.5,80.5,280.5,73.75,NA,NA,NA,NA,9.86473649885544,165,2,115.833333333333,8.85801426426351,215.5,350.75,3.5,1.5372864248341,70,4
"B57",46.1666666666667,143.5,30.5415299227703,14.6666666666667,126.833333333333,25.858055,844.5816675,818.7186125,2.94077612733705,823.696721511899,80.741542692935,195,50,3.96078068550918,12.785078741422,65.8702523885481,NA,0.86473649885544,122.5,4,138.666666666667,6.85801426426351,152,316,25.5,NA,58.75,5.8
"B64",38.907697422787,137.534431304277,28.5415299227703,13.3846361627153,80.043621226218,4.65139,646.80278,642.15139,7.94077612733705,780,76.5,225.75,52.5,3.55,14.23,70.5,NA,0.86473649885544,120,1,119.823500777993,11.8580142642635,171,275.5,6.5,NA,NA,4.85807012793367
"B68",41.3985860095089,163.226874077326,NA,13.6846213152132,70.5534100585223,88.8530857426244,947.353403028509,891.7066675,6.44077612733705,843,84.5,231.75,58.75,3.885,13.745,68.07,NA,0.86473649885544,165,1.5,104.125448585544,13.8580142642635,211,336.75,10.25,0.537286424834101,60,4.8917621608067
"B73",46.54093567,133.212339084386,NA,17.7795135748914,112.833083818043,21.447224165,847.10591735,825.6569669,6.97410946033705,766.553278488101,87.883457307065,219.76495725,67.021943575,3.7375,13.302142855,69.059464285,NA,1.97584760985544,164.2878788,1.388888889,117.789223514779,6.52468093126351,204.5222222,305.80982905,6.8162393165,0.680143567834101,76.857142855,4.82111111133333
"B73_Mo17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B73Htrhm",41.2222222233333,117.5,NA,16.4576744948914,95.9830838030432,16.386945,885.038335,868.65139,8.94077612733705,708.5,72.5,165,66.25,3.975,12.3,68.4,NA,0.86473649885544,160,1,105.5,12.8580142642635,130,237.75,4.75,1.5372864248341,77.5,3.91666666666667
"B75",40.3985860095089,119.226874077326,NA,14.6846213152132,69.5534100585223,54.1225,851.485555,797.3580575,8.94077612733705,708,87.5,290.25,43.75,4.12921931449083,14.934921258578,69.2797476114519,NA,0.86473649885544,135,1,104.125448585544,11.8580142642635,215,323.75,2,0.537286424834101,40,4.43307012793367
"B76",46,155.5,25.0415299227703,13.3333333333333,116.5,-21.4208042573756,755.406183028509,777.00833283576,0.94077612733705,NA,NA,216,44.2036014082141,3.01078068550917,13.575078741422,61.5502523885481,NA,0.86473649885544,142.5,1,137,10.8580142642635,195,298.25,6.5,NA,42.5,6.76666666666667
"B77",38.3333333333333,131.5,21.0415299227703,13.1666666666667,87,6.6658325,844.5816675,837.913335,3.94077612733705,728,96,264,67.5,5.11,14.765,66.555,NA,0.86473649885544,155,1.5,142.333333333333,6.85801426426351,231,368.5,12,NA,52.5,6.3
"B79",46.8333333333333,135.666666666667,20.5415299227703,16,81.3333333333334,22.9541675,832.733055,809.77639,9.44077612733705,779.5,110,213.5,70,3.94078068550917,14.055078741422,67.800252388548,NA,0.5,152.5,2,110.666666666667,10.8580142642635,214,323.75,14.75,1.4627135751659,70,5.13333333333333
"B84",38.1666666666667,125.833333333333,NA,14.4576744948914,93.8333333333333,37.4636407426244,836.516738028509,861.9830575,5.44077612733705,725,71,142.5,74.2036014082141,NA,NA,NA,NA,0.86473649885544,140,2.5,146.739223514779,13.8580142642635,152,236,10.5,0.537286424834101,62.5,5.61281095246968
"B97",39.407697422787,133.284431304277,20.0415299227703,12.8846361627153,80.5534100585223,54.8027775,881.360555,826.5527775,4.94077612733705,768.5,108,235.25,75,4.385,13.475,66.97,NA,0.5,165,2,122.625448585544,8.85801426426351,206,301.25,11.25,1.4627135751659,55,4.4417621608067
"C103",37.184605154426,156.431137391445,NA,10.2307276745695,81.412757547564,39.1269757426244,935.406183028509,896.45055783576,-0.55922387266295,NA,NA,281.495229530357,59.2036014082141,NA,NA,NA,NA,0.86473649885544,136.615700738489,-0.181423625824229,152.852998444013,6.85801426426351,210.712491631153,390.891762504946,12.3746963932817,NA,64.7583708022721,4.48385974413267
"C123",43.5415955819674,162.079005734386,NA,13.9576744948914,101.233083803043,-8.64691425737563,790.406183028509,799.22944783576,-0.0592238726629502,620.303278488101,80.258457307065,259.495229530357,NA,NA,NA,NA,NA,0.86473649885544,141.615700738489,0.818576374175771,146.989223514779,5.85801426426351,216.712491631153,336.891762504946,13.3746963932817,NA,37.2583708022721,5.36281095246968
"C49A",37.0415955819674,123.079005734386,NA,13.4576744948914,46.2330838030432,45.6658325,731.636945,685.97111,6.44077612733705,527,62.5,180.004770469643,32.5,NA,NA,NA,NA,0.86473649885544,132.5,0.181423625824229,100.239223514779,8.85801426426351,151.287508368847,267.608237495054,10.6253036067183,0.537286424834101,29.7583708022721,3.3417621608067
"CH701-30",38.6666666666667,159.666666666667,29.0415299227703,12,114.166666666667,57.5936125,792.1777775,734.5791675,6.94077612733705,634.5,96,267,41.25,3.61078068550917,10.045078741422,71.7202523885481,NA,0.86473649885544,132.5,1.5,146.5,10.8580142642635,215,339,7.25,0.537286424834101,47.5,5.3
"CH9",41,106,18.0415299227703,13.3333333333333,72.6666666666667,34.7066675,877.7763875,843.0672225,3.44077612733705,580.5,74.5,303.75,50,4.56078068550917,14.905078741422,62.3402523885481,NA,0.86473649885544,112.5,0,90.3333333333334,10.8580142642635,183,313,1.5,0.537286424834101,38.75,6.26666666666667
"Ci7",45.0415955819674,136.829005734386,NA,16.9576744948914,114.983083803043,-8.64691425737563,887.627293028509,910.5936125,8.44077612733705,899,91,311,70,3.89078068550917,15.045078741422,65.0802523885481,NA,0.86473649885544,197.5,1.5,126.489223514779,13.8580142642635,325,411.5,6.5,0.537286424834101,72.5,4.18781095246968
"CI187-2",NA,NA,NA,NA,NA,33.2953057426244,968.788335,970.897777835761,2.44077612733705,704,81,228,55,NA,NA,NA,NA,0.86473649885544,107.5,2.5,NA,7.85801426426351,226,331,12,0.537286424834101,45.2416291977279,NA
"CI21E",46.5,157.666666666667,NA,14.6666666666667,105.333333333333,11.6658325,862.511945,850.8436125,3.44077612733705,820,96,313,56.25,4.135,12.85,68.635,NA,0.86473649885544,167.5,2.5,146.739223514779,11.8580142642635,255,411.5,7,NA,65,5.98333333333333
"CI28A",37.7777777766667,133.555555566667,14.0415299227703,12,73.6666666666667,10,940.4566675,930.4566675,9.44077612733705,730,96.5,266.25,60.7963985917859,4.795,14.78,66.615,NA,0.86473649885544,125,1.5,103.555555566667,12.8580142642635,189,357,9.5,0.537286424834101,65,4.48333333333333
"CI31A",36.3333333333333,116.666666666667,NA,13.9576744948914,58.9830838030432,52.6802775,930.4566675,877.7763875,8.94077612733705,808,92,258.75,48.75,5.225,14.84,63.9,NA,1.86473649885544,130,3,100.489223514779,11.8580142642635,252,399,15.5,NA,52.5,5.08781095246968
"CI3A",42.5415955819674,110.079005734386,NA,17.2076744948914,55.9830838030432,73.8530857426244,872.906183028509,799.22944783576,5.94077612733705,660.303278488101,100.258457307065,193.495229530357,74.2036014082141,3.67078068550917,15.185078741422,62.9602523885481,NA,0.86473649885544,186.615700738489,2.81857637417577,100.489223514779,7.85801426426351,192.712491631153,325.891762504946,20.3746963932817,NA,59.7583708022721,3.06281095246968
"CI64",45.3333333333333,150,25.5415299227703,16,109.793621226218,-5,877.7763875,882.7763875,7.94077612733705,895.5,83.5,323,62.5,3.73,12.53,68.82,NA,1,185,-1.99737025878431e-16,128.666666666667,10.8580142642635,221.5,376.75,8.25,1.4627135751659,65,5.83307012793367
"CI66",NA,NA,NA,NA,NA,NA,NA,924.73666716424,1.44077612733705,541,73,175,NA,NA,NA,NA,NA,0.86473649885544,115,0.5,NA,8.85801426426351,141,205.5,4.5,0.537286424834101,NA,NA
"Ci90C",34.184605154426,118.431137391445,NA,14.2307276745695,48.412757547564,73.0164207426244,975.3172225,944.22944783576,6.94077612733705,698.5,71,212,65,4.78078068550918,13.825078741422,68.0602523885481,NA,0.86473649885544,123.75,3.5,104.852998444013,12.8580142642635,274,363,15,0.537286424834101,70,2.88385974413267
"Ci91B",38.8333333333333,133.5,NA,11.9576744948914,69.2330838030432,23.0552775,885.038335,861.9830575,2.94077612733705,558.5,71.5,216,54.2036014082141,NA,NA,NA,NA,0.86473649885544,135,3.14018491736755e-16,125.833333333333,6.85801426426351,137,284.25,8.75,0.537286424834101,62.5,3.76666666666667
"CM105",36.3333333333333,148.833333333333,NA,13.9576744948914,68.2330838030432,50.4785792573756,747.309931971491,696.65499716424,5.94077612733705,675,60.5,240.25,68.2963985917859,2.87921931449082,12.134921258578,72.3997476114519,NA,0.86473649885544,115,0.5,121.5,NA,141,262,2,0.537286424834101,37.5,4.80807012793367
"CM174",42.5415955819674,141.079005734386,NA,13.9576744948914,79.7330838030432,37.6080575,795.8052775,758.1922225,5.94077612733705,607.75,64.25,214.75,32.5,3.57078068550917,13.105078741422,70.6302523885481,NA,0.86473649885544,107.5,-2.84851866733688e-17,118.489223514779,6.85801426426351,133,249.5,5,0.537286424834101,NA,5.46281095246968
"CM37",28.8985860095089,159.726874077326,NA,NA,24.0534100585223,-8.64691425737563,613.742848028509,622.56611283576,2.94077612733705,601.303278488101,66.258457307065,159.5,66.7036014082141,NA,NA,NA,NA,0.86473649885544,109.115700738489,0.5,138.125448585544,6.85801426426351,149,242.25,14,NA,39.7583708022721,3.9417621608067
"CM7",32.0507069952455,93.1365629613368,20.0415299227703,12.1576893423934,29.412757547564,0,679.5816675,679.5816675,2.94077612733705,535.5,71,240.5,39.2036014082141,NA,NA,NA,NA,0.86473649885544,92.5,0.5,83.437275707228,NA,197,306.75,6.5,0.537286424834101,44.7583708022721,4.27911891959665
"CML10",NA,NA,NA,NA,NA,NA,NA,NA,3.94077612733705,879.696721511899,78.741542692935,195.504770469643,NA,NA,NA,NA,NA,0.86473649885544,NA,2.18142362582423,NA,-1.14198573573649,267.287508368847,337.108237495054,16.6253036067183,0.537286424834101,NA,NA
"CML103",39,169.333333333333,31.0415299227703,14,84.5,2.51214793389404e-15,917.538335,917.538335,4.44077612733705,830,109.5,248.5,70,4.07,14.78,68.29,NA,0.86473649885544,172.5,2.5,148.666666666667,5.85801426426351,261,360.5,15.5,NA,72.5,4.15
"CML108",42.5,135.5,18.0415299227703,18.6666666666667,76.5,13.47111,924.0672225,910.5936125,5.44077612733705,847,99,279,60,5.1,11.705,65.18,NA,0.86473649885544,160,2,112.666666666667,14.8580142642635,239,353.5,7.5,NA,65,3.43333333333333
"CML11",32.9168088360651,165.841988531228,NA,10.0846510102173,28.5338323939136,2.46364074262437,985.038335,1034.22944783576,5.94077612733705,932,90,212,77.5,NA,NA,NA,NA,0.86473649885544,205,6,NA,9.85801426426351,243,388,19.5,NA,85.2416291977279,NA
"CML14",NA,NA,NA,NA,NA,NA,NA,NA,2.94077612733705,875,106,213.5,55,NA,NA,NA,NA,0.86473649885544,168.384299261511,4,NA,13.8580142642635,256,386,19.5,NA,NA,NA
"CML154Q",41.6666666666667,172,NA,14.9576744948914,109.233083803043,-8.64691425737563,927.353403028509,936.17666783576,4.44077612733705,871.5,76,297.5,75,NA,NA,NA,NA,0.86473649885544,150,0.5,145.333333333333,12.8580142642635,279.5,375,13,0.537286424834101,54.7583708022721,3.61281095246968
"CML157Q",44.157697422787,135.284431304277,20.0415299227703,16.8846361627153,73.543621226218,9.1658325,956.9830575,947.8172225,1.94077612733705,983.5,112.5,164,72.5,4.28078068550917,12.775078741422,63.2002523885481,NA,0.86473649885544,190,4.5,113.073500777993,13.8580142642635,235,324,17.5,NA,80.2416291977279,4.10807012793367
"CML158Q",NA,NA,NA,16.2307276745695,68.412757547564,23.8530857426244,1036.51673802851,968.788335,3.44077612733705,887,119,176.5,64.2036014082141,NA,NA,NA,NA,0.86473649885544,171.615700738489,6.5,NA,6.85801426426351,208.5,315,22.5,1.5372864248341,NA,2.48385974413267
"CML218",35.7915955819674,131.829005734386,NA,10.9576744948914,50.4830838030432,9.16583249999999,956.9830575,947.8172225,2.44077612733705,916.5,100,150,54.2036014082141,5.07078068550917,14.845078741422,63.3702523885481,NA,0.86473649885544,162.5,4,118.489223514779,12.8580142642635,177,313,18,1.5372864248341,NA,3.76281095246968
"CML220",40.3333333333333,146,NA,13.9576744948914,70.2330838030432,42.4636407426244,887.627293028509,885.038335,-0.0592238726629502,727.5,79,155,69.2036014082141,3.51078068550917,17.105078741422,65.7302523885481,NA,3.86473649885544,112.5,4.5,135,5.85801426426351,169.5,311,24.5,0.537286424834101,39.7583708022721,6.06281095246968
"CML228",NA,NA,NA,NA,NA,NA,NA,1045.34000283576,5.94077612733705,931.5,74,212,75.7963985917859,NA,NA,NA,NA,0.86473649885544,158.384299261511,5.5,NA,11.8580142642635,255,341.5,10,0.537286424834101,NA,NA
"CML238",49.184605154426,151.431137391445,NA,18.2307276745695,89.412757547564,-8.64691425737563,980.406183028509,989.22944783576,-0.0592238726629502,852,107.5,204,57.5,4.40078068550917,13.915078741422,65.6002523885481,NA,0.86473649885544,157.5,8,116.852998444013,6.85801426426351,232,357.5,33.5,NA,NA,4.08385974413267
"CML247",NA,NA,NA,NA,NA,-2.51214793389404e-15,985.038335,985.038335,1.94077612733705,941,95.5,228.5,57.5,NA,NA,NA,NA,0.86473649885544,170,0.999999999999999,NA,2.85801426426351,249,324,14.5,NA,NA,NA
"CML254",NA,NA,NA,NA,NA,NA,NA,NA,7.44077612733705,1042,85.5,200.495229530357,54.2036014082141,NA,NA,NA,NA,0.86473649885544,NA,3.81857637417577,NA,12.8580142642635,214.712491631153,330.891762504946,12.3746963932817,0.537286424834101,NA,NA
"CML258",NA,NA,NA,NA,NA,NA,NA,1045.34000283576,1.44077612733705,909.75,84,209.495229530357,64.2036014082141,NA,NA,NA,NA,0.86473649885544,NA,2.81857637417577,NA,9.85801426426351,294.712491631153,387.891762504946,19.3746963932817,0.537286424834101,NA,NA
"CML261",NA,NA,NA,NA,NA,NA,NA,1045.34000283576,2.94077612733705,961,104,246,NA,NA,NA,NA,NA,0.86473649885544,173.384299261511,7,NA,13.8580142642635,234,385,23,NA,NA,NA
"CML264",NA,NA,NA,NA,NA,NA,NA,1045.34000283576,2.44077612733705,904,99.5,245.495229530357,NA,NA,NA,NA,NA,0.86473649885544,NA,3.81857637417577,NA,7.85801426426351,302.712491631153,399.891762504946,17.3746963932817,0.537286424834101,NA,NA
"CML277",NA,NA,NA,NA,NA,NA,NA,1045.34000283576,0.94077612733705,774.303278488101,88.258457307065,260.495229530357,NA,NA,NA,NA,NA,0.86473649885544,NA,0.818576374175771,NA,8.85801426426351,270.712491631153,316.891762504946,5.3746963932817,NA,NA,NA
"CML281",NA,NA,NA,NA,NA,NA,NA,NA,4.44077612733705,921,99,188.5,69.2036014082141,NA,NA,NA,NA,0.86473649885544,NA,3.5,NA,8.85801426426351,223,302.5,20,0.537286424834101,NA,NA
"CML287",NA,NA,NA,NA,NA,NA,NA,NA,5.94077612733705,NA,NA,233,67.5,NA,NA,NA,NA,0.86473649885544,NA,3.5,NA,11.8580142642635,249.287508368847,344.75,15,0.537286424834101,NA,NA
"CML311",39.9168088360651,141.841988531228,NA,18.0846510102173,47.5338323939136,NA,NA,NA,1.705678862366,698.696721511899,79.741542692935,237.504770469643,50.7963985917859,NA,NA,NA,NA,0.86473649885544,178.384299261511,6.18142362582423,NA,-1.14198573573649,235.287508368847,383.108237495054,20.6253036067183,NA,55.2416291977279,NA
"CML314",37.8985860095089,143.726874077326,NA,NA,23.0534100585223,NA,NA,1045.34000283576,6.705678862366,946,86.5,204,72.5,NA,NA,NA,NA,0.86473649885544,200,5,123.125448585544,13.8580142642635,261.5,380,16.5,NA,75.2416291977279,2.9417621608067
"CML321",36.8985860095089,135.726874077326,NA,15.6846213152132,33.0534100585223,NA,NA,985.038335,7.94077612733705,1027,104.5,248,59.2036014082141,NA,NA,NA,NA,0.86473649885544,180,0,118.125448585544,11.8580142642635,235,337,7.5,NA,NA,2.4417621608067
"CML322",38.6666666666667,125.166666666667,NA,14,58.6666666666667,25.2375307426244,1004.01673802851,978.95055783576,9.44077612733705,837.5,88.5,259,50,NA,NA,NA,NA,0.86473649885544,142.5,0.5,112.739223514779,12.8580142642635,216,336,5.5,0.537286424834101,30.2416291977279,2.95
