"","EarDiameter_NY","EarLength_NY","EarRankNumber_NY","EarRowNumber_NY","EarWeight_NY","GDDAnthesisSilkingInterval_NY","GDDDaystoSilk_NY","GDDDaystoTassel_NY","GerminationCount_NY","LeafLength_NY","LeafWidth_NY","MainSpikeLength_NY","MiddleLeafAngle_NY","NIROil_NY","NIRProtein_NY","NIRStarch_NY","NorthernLeafBlightPercentage_NY","NumberofTilleringPlants_NY","PlantHeight_NY","SecondaryBranchNumber_NY","SeedSetLength_NY","StandCount_NY","TasselBranchLength_NY","TasselLength_NY","TasselPrimaryBranches_NY","TilleringIndex_NY","UpperLeafAngle_NY","X20KernelWeight_NY"
"Z005E0144",40.407697422787,142.284431304277,24.0415299227703,14.8846361627153,78.293621226218,-0.594134257375634,970.127293028509,970.897777835761,4.44077612733705,760,129.5,304.25,70,3.13078068550917,10.425078741422,71.8802523885481,NA,0.86473649885544,175,1.81857637417577,133.323500777993,13.8580142642635,280.712491631153,380.5,6.5,NA,70,4.20807012793367
"Z005E0145",42,117.333333333333,29.0415299227703,14.3333333333333,72.1666666666667,24.4058657426244,1025.40618302851,1001.17666783576,3.94077612733705,875.5,87,288,65,NA,NA,NA,NA,0.86473649885544,162.5,-0.181423625824229,116.666666666667,9.85801426426351,243.712491631153,386,9.5,NA,75.2416291977279,2.95
"Z005E0146",45.907697422787,173.784431304277,25.0415299227703,14.8846361627153,140.793621226218,5.02429586778808e-15,876.9422225,876.9422225,0.94077612733705,NA,NA,283,62.5,NA,NA,NA,NA,0.86473649885544,146.25,0.818576374175771,170.573500777993,3.85801426426351,204.712491631153,328,3,NA,75,5.93307012793367
"Z005E0147",45.6666666666667,112.666666666667,25.0415299227703,14,89.6666666666667,33.75,910.110555,876.360555,9.33333333333333,711.5,103,211,72.5,3.43,11.995,68.475,8.72647058856373,0.86473649885544,175,1.81857637417577,102.166666666667,11.8580142642635,201.712491631153,309.5,11.5,NA,67.5,5.38333333333333
"Z005E0148",42.157697422787,123.034431304277,22.0415299227703,14.8846361627153,75.043621226218,5.97111,940.4566675,934.4830575,6.5,716,93,203,62.5,4.13,13.935,66.845,5.89313725456373,0.86473649885544,177.5,1.81857637417577,107.823500777993,8.85801426426351,188.712491631153,293,10,NA,70,4.63307012793367
"Z005E0149",43.2915955819674,121.829005734386,17.0415299227703,16,84,26.0741957426244,947.8172225,936.17666783576,5.33333333333333,815,82.5,257.5,65,4.03921931449082,11.344921258578,68.3097476114519,15.3931372515637,0.86473649885544,172.5,0.818576374175771,111.239223514779,10.8580142642635,129.712491631153,317,3.5,NA,72.5,4.21666666666667
"Z005E0150",40.907697422787,144.284431304277,30.0415299227703,13.8846361627153,74.293621226218,27.77639,951.8436125,924.0672225,3.94077612733705,769,86.5,257,60,4.745,12.325,66.795,9.05980392156373,0.86473649885544,178.384299261511,0.818576374175771,134.073500777993,9.85801426426351,168.712491631153,307.5,5.5,NA,65,3.70807012793367
"Z005E0151",35.8985860095089,127.726874077326,NA,13.6846213152132,21.0534100585223,NA,NA,1045.34000283576,3.94077612733705,NA,NA,255,64.2036014082141,NA,NA,NA,NA,0.86473649885544,158.384299261511,0.818576374175771,114.125448585544,8.85801426426351,145.712491631153,317.5,6,NA,70.2416291977279,4.0417621608067
"Z005E0152",39.6666666666667,98,24.0415299227703,15.8846361627153,58,-2.51214793389404e-15,962.9566675,962.9566675,3.94077612733705,782,89,216,70,3.54078068550917,13.315078741422,66.5302523885481,NA,0.86473649885544,165,-0.181423625824229,87.6666666666667,4.85801426426351,168.712491631153,272,3.5,NA,75,4.53333333333333
"Z005E0153",43.184605154426,102.431137391445,NA,16.2307276745695,67.412757547564,1.62697574262437,980.406183028509,951.8436125,5.94077612733705,832.5,99,219,70,3.87078068550917,13.265078741422,68.0202523885481,NA,0.86473649885544,182.5,1.81857637417577,83.8529984440132,12.8580142642635,209.712491631153,294,7.5,NA,75,3.28385974413267
"Z005E0154",45.6666666666667,136.333333333333,27.0415299227703,14.6666666666667,153.543621226218,13.3436125,913.72111,900.3725,5.66666666666667,689.696721511899,94.741542692935,270.495229530357,71.25,4.73,12.04,69.615,11.2264705885637,0.86473649885544,178.75,1.81857637417577,134.5,8.85801426426351,260.712491631153,359.891762504946,9.3746963932817,NA,75.2416291977279,6.50807012793367
